Company Name,,,,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Diversey,,,,"Charlotte, NC",5001 to 10000 employees,-1,Company - Private,-1,-1,$2 to $5 billion (USD)
Diversified Services Network,,,,"Naperville, IL",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
"Diversified Systems, Inc",,,,"Brooklyn Heights, OH",1 to 50 employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,$10 to $25 million (USD)
DIVIDEND FINANCE LLC,,,,"San Francisco, CA",51 to 200 employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable
divvyDOSE,,,,"Moline, IL",201 to 500 employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Dizzion,,,,"Denver, CO",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
DJO Global,,,,"Dallas, TX",5001 to 10000 employees,1978,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD)
DJO,,,,"Dallas, TX",5001 to 10000 employees,1978,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD)
DK Consulting,,,,"Walnut Creek, CA",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
"DK Consulting, LLC",,,,"Columbia, MD",1 to 50 employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
DL Staffing Solutions,,,,-1,-1,-1,-1,-1,-1,-1
DLH Holdings Corp,,,,"Atlanta, GA",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
DLH,,,,"Atlanta, GA",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
DLL,,,,"Eindhoven, Netherlands",5001 to 10000 employees,1969,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD)
DMA Associates,,,,"Newtown, PA",51 to 200 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
DMGT,,,,"London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
DNTG,,,,"Cerritos, CA",1 to 50 employees,-1,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
Do It Best Corp,,,,"Fort Wayne, IN",1001 to 5000 employees,-1,Company - Private,Home Centers & Hardware Stores,Retail,$2 to $5 billion (USD)
"Dobbs Defense Solutions, LLC",,,,-1,-1,-1,-1,-1,-1,-1
Docker,,,,"San Francisco, CA",201 to 500 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Doctible,,,,"San Diego, CA",51 to 200 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Doctors Making Housecalls,,,,"Durham, NC",201 to 500 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Doctors Without Borders | Médecins Sans Frontières,,,,-1,-1,-1,-1,-1,-1,-1
Doelsoft,,,,-1,-1,-1,-1,-1,-1,-1
Doggett,,,,"Baton Rouge, LA",51 to 200 employees,-1,Company - Private,Commercial Equipment Rental,Business Services,$10 to $25 million (USD)
Dogwood Management Partners,,,,"Riverview, FL",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
DOLLAR GENERAL,,,,"Goodlettsville, TN",10000+ employees,1939,Company - Public,Other Retail Stores,Retail,$10+ billion (USD)
Dollar Shave Club,,,,"Marina del Rey, CA",201 to 500 employees,2011,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
Dollar Tree,,,,"Chesapeake, VA",10000+ employees,-1,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Dolphin,,,,"Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
Dominion Payroll,,,,"Richmond, VA",51 to 200 employees,2002,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
Donatech Corporation,,,,"Fairfield, IA",201 to 500 employees,1987,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Donatech,,,,"Fairfield, IA",201 to 500 employees,1987,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Donnelley Financial Solutions,,,,"Chicago, IL",1001 to 5000 employees,2016,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Donnelly & Moore Corporation,,,,"New City, NY",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Door Sales & Installations,,,,-1,-1,-1,-1,-1,-1,-1
Dorilton Capital,,,,-1,-1,-1,-1,-1,-1,-1
dormakaba,,,,"Rümlang, Switzerland",10000+ employees,2015,Company - Public,Miscellaneous Manufacturing,Manufacturing,$2 to $5 billion (USD)
DoSomething,org,,,"New York, NY",51 to 200 employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD)
Dot 818,,,,-1,-1,-1,-1,-1,-1,-1
Dot818,,,,"Glendale, CA",1 to 50 employees,2011,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Double G Painting & Contracting INC,,,,-1,-1,-1,-1,-1,-1,-1
DoubleVerify,,,,"New York, NY",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Dovel Technologies,,,,"McLean, VA",1001 to 5000 employees,2005,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Dover Corporation,,,,"Downers Grove, IL",10000+ employees,1955,Company - Public,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD)
DOWL,,,,"Seattle, WA",201 to 500 employees,1962,Company - Private,Architectural & Engineering Services,Business Services,$50 to $100 million (USD)
Doximity,,,,"San Francisco, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
doxo,,,,"Seattle, WA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
DPR Construction,,,,"Redwood City, CA",1001 to 5000 employees,1990,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD)
DrangKro Aerospace,,,,-1,-1,-1,-1,-1,-1,-1
Dresner Partners Investment Banking,,,,"Chicago, IL",1 to 50 employees,1991,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
DrFirst,,,,"Rockville, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Drift Net Securities,,,,"Chicago, IL",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Drilling Info,,,,"Austin, TX",1001 to 5000 employees,1999,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Dril-Quip,,,,"Houston, TX",1001 to 5000 employees,1981,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
DRINKS,,,,"Los Angeles, CA",51 to 200 employees,2013,Company - Private,Food & Beverage Stores,Retail,$50 to $100 million (USD)
Driven Brands,,,,"Charlotte, NC",1001 to 5000 employees,2006,Company - Private,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD)
"DriveTime Automotive Group, Inc",,,,"Tempe, AZ",5001 to 10000 employees,2002,Company - Private,Vehicle Dealers,Retail,$2 to $5 billion (USD)
Dropbox,,,,"San Francisco, CA",1001 to 5000 employees,2007,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
DRW Trading Group,,,,"Chicago, IL",1001 to 5000 employees,1992,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
DRW,,,,"Chicago, IL",1001 to 5000 employees,1992,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
"DSC Logistics, LLC",,,,"Des Plaines, IL",1001 to 5000 employees,1960,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD)
Dstillery,,,,"New York, NY",51 to 200 employees,2008,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
DSV Global Transport & Logistics,,,,"Hedehusene, Denmark",201 to 500 employees,1976,Company - Private,-1,-1,$50 to $100 million (USD)
DSW (Designer Brands Inc,),,,-1,-1,-1,-1,-1,-1,-1
DSW,,,,"Columbus, OH",10000+ employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD)
DT Professional Services,,,,"Canoga Park, CA",1 to 50 employees,2013,Company - Public,-1,-1,Less than $1 million (USD)
DTCC,,,,"New York, NY",1001 to 5000 employees,1973,Company - Private,Brokerage Services,Finance,$1 to $2 billion (USD)
Dtex Systems,,,,"San Jose, CA",51 to 200 employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD)
DTG Capital Markets,,,,-1,-1,-1,-1,-1,-1,-1
"DTx Pharma, Inc",,,,-1,-1,-1,-1,-1,-1,-1
"DuCharme, McMillen & Associates",,,,"Fort Wayne, IN",201 to 500 employees,1972,Company - Private,Accounting,Accounting & Legal,$50 to $100 million (USD)
DuckerFrontier,,,,"Washington, DC",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Duetto,,,,"San Francisco, CA",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Dun & Bradstreet,,,,"Short Hills, NJ",1001 to 5000 employees,1841,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD)
Dun & Bradstreet,,,,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Duncan Financial Group,,,,"Irwin, PA",51 to 200 employees,1978,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
Dunhill Professional Search,,,,"Wilmington, NC",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Duolingo,,,,"Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
Durlston Partners,,,,"London, United Kingdom",1 to 50 employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Dutchie,,,,"Bend, OR",1 to 50 employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Dutech Systems Inc,,,,"Reading, MA",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
"DV Trading, LLC",,,,"Chicago, IL",201 to 500 employees,2006,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
DW Simpson,,,,"Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
DXC Technology,,,,"Tysons, VA",10000+ employees,2017,Company - Public,IT Services,Information Technology,$10+ billion (USD)
DXP Enterprises,,,,"Houston, TX",1001 to 5000 employees,1908,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD)
"DXP Enterprises, Inc",,,,"Houston, TX",1001 to 5000 employees,1908,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD)
Dynam,AI,,,"Reston, VA",10000+ employees,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Dynamic Computing Services,,,,"West Lake Hills, TX",51 to 200 employees,1990,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Dynamic Inc,,,,"Wichita, KS",1 to 50 employees,-1,Subsidiary or Business Segment,-1,-1,Unknown / Non-Applicable
"Dynamic Planning & Response, LLC",,,,"Honolulu, HI",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Dynatouch Corporation,,,,"San Antonio, TX",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
DynCorp International LLC,,,,"McLean, VA",10000+ employees,1946,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
DynCorp International,,,,"McLean, VA",10000+ employees,1946,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
DynPro Inc,,,,"Raleigh, NC",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Dyson,,,,"Singapore, Singapore",10000+ employees,1993,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
E Base Technologies,,,,"Fremont, CA",51 to 200 employees,-1,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD)
E Business International,,,,"Princeton, NJ",51 to 200 employees,1992,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
E&A,,,,"Wiesbaden, Germany",51 to 200 employees,2010,Unknown,-1,-1,Less than $1 million (USD)
E&S Ring Management,,,,"Los Angeles, CA",201 to 500 employees,1959,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD)
E*TRADE Financial,,,,"Arlington, VA",1001 to 5000 employees,1982,Company - Public,Brokerage Services,Finance,$2 to $5 billion (USD)
"E2 Consulting Engineers, Inc",,,,"Emeryville, CA",201 to 500 employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$50 to $100 million (USD)
E2open,,,,"Austin, TX",1001 to 5000 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
E3 Federal Solutions,,,,"McLean, VA",501 to 1000 employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
EA Team,,,,"Edison, NJ",51 to 200 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
"EA Team, Inc",,,,"Edison, NJ",51 to 200 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
EAC Product Development Solutions,,,,"Minneapolis, MN",51 to 200 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
EAG Services,,,,"Houston, TX",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
Eagle Investment Systems,,,,"Wellesley, MA",501 to 1000 employees,1989,Subsidiary or Business Segment,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
"Eagle Technologies, Inc",,,,"Arlington, VA",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
EApps Tech LLC,,,,-1,-1,-1,-1,-1,-1,-1
Earnest Research,,,,"New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Earnin,,,,"Palo Alto, CA",201 to 500 employees,2012,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
East Bay Community Law Center,,,,"Berkeley, CA",1 to 50 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$1 to $5 million (USD)
East Valley Community Health C,,,,-1,-1,-1,-1,-1,-1,-1
Eastern Airlines LLC,,,,"Miami, FL",1 to 50 employees,-1,Company - Private,-1,-1,$5 to $10 million (USD)
Eastern Metal Recycling,,,,"Warrington, United Kingdom",1001 to 5000 employees,-1,Company - Private,Metals Brokers,Mining & Metals,$2 to $5 billion (USD)
Eastern Virginia Medical School,,,,"Norfolk, VA",1001 to 5000 employees,1964,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Easton Technical Products,,,,"Salt Lake City, UT",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD)
EastWest Logistics,,,,"La Mirada, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Easyfind Company,,,,"Noida, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Eataly North America,,,,"New York, NY",1001 to 5000 employees,2010,Other Organization,Food & Beverage Stores,Retail,$1 to $5 million (USD)
Eaton,,,,"Dublin, Ireland",10000+ employees,1911,Unknown,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
eBacon,,,,-1,-1,-1,-1,-1,-1,-1
eBay,,,,"San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD)
e-Bit Consulting,,,,"Chicago, IL",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Ebix,,,,"Duluth, GA",1001 to 5000 employees,1967,Company - Public,IT Services,Information Technology,$100 to $500 million (USD)
Eccalon,,,,"Hanover, MD",51 to 200 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
"Eccelion, LLC",,,,-1,-1,-1,-1,-1,-1,-1
Echo Global Logistics,,,,"Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
ECI - Estrada Consulting Inc,,,,-1,-1,-1,-1,-1,-1,-1
Eclaro,,,,"New York, NY",501 to 1000 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
eClerx LLC,,,,"Mumbai, India",5001 to 10000 employees,2000,Company - Public,Consulting,Business Services,$100 to $500 million (USD)
Eclipse BioInnovations,,,,-1,-1,-1,-1,-1,-1,-1
Eclipse Resources,,,,"State College, PA",51 to 200 employees,-1,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Ecolab,,,,"Saint Paul, MN",10000+ employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD)
Economic and Community Development Institute,,,,"Columbus, OH",1 to 50 employees,-1,Nonprofit Organization,Lending,Finance,$5 to $10 million (USD)
Econosoft,,,,"San Jose, CA",51 to 200 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
ECQR Inc,,,,"San Diego, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
ECRI,,,,"Plymouth Meeting, PA",201 to 500 employees,1968,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
ECS Corporate Services,,,,"Chantilly, VA",1001 to 5000 employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD)
Ecsion,,,,"Princeton, NJ",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
eDataForce consulting LLC,,,,"Flower Mound, TX",1 to 50 employees,2012,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Eddie Bauer,,,,"Bellevue, WA",5001 to 10000 employees,1920,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$1 to $2 billion (USD)
Edelman Financial Engines,,,,"Sunnyvale, CA",1001 to 5000 employees,1986,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
EDF Trading,,,,"London, United Kingdom",501 to 1000 employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
EDGE10 Group,,,,"London, United Kingdom",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
EdgeLink,,,,"Portland, OR",1 to 50 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Edgilent Corp,,,,"Schaumburg, IL",1 to 50 employees,2015,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $5 million (USD)
EDI Staffing,,,,"Raynham, MA",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Edible Arrangements Corporate,,,,-1,-1,-1,-1,-1,-1,-1
Edible Arrangements,,,,"Atlanta, GA",201 to 500 employees,1999,Company - Private,Food & Beverage Stores,Retail,$500 million to $1 billion (USD)
Edison Energy,,,,"Irvine, CA",51 to 200 employees,2013,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
"Edison Software, Inc",,,,"San Jose, CA",51 to 200 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Editech Staffing,,,,"Reston, VA",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
Edkal Technologies Inc,",",,,"Bangalore, India",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Edkal Technologies pvt ltd,,,,"Bangalore, India",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Edmentum,,,,"Bloomington, MN",501 to 1000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Edmodo,,,,"San Mateo, CA",51 to 200 employees,2008,Company - Private,Education Training Services,Education,$5 to $10 million (USD)
Edmunds.com,com,,Edmunds.com.com,"Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
EDO,,,,"Calcio, Italy",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"EDO, Inc",,,,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
EDP Renewables,,,,"Houston, TX",501 to 1000 employees,1998,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
EDP Renovaveis,,,,"Houston, TX",501 to 1000 employees,1998,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
"EDP World, Inc",,,,"New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
EdTec,,,,"Emeryville, CA",1 to 50 employees,2001,Company - Private,Colleges & Universities,Education,$1 to $5 million (USD)
"Education Development Center, Inc",,,,"Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD)
"Education Service Center, Region 20 [ESC-20]",,,,-1,-1,-1,-1,-1,-1,-1
Education Trust,,,,"London, United Kingdom",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Edupoint,,,,"Irvine, CA",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD)
EdvenSoft Solutions LLC,,,,"Irving, TX",1 to 50 employees,-1,Company - Public,-1,-1,$1 to $5 million (USD)
Edward Daniels Group,,,,"New York, NY",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Edward Jones - Home Office,,,,"Saint Louis, MO",10000+ employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Edwards Lifesciences,,,,"Irvine, CA",10000+ employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Edwards Place of Employment,,,,"Lubbock, TX",1 to 50 employees,2004,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
edX,,,,"Cambridge, MA",51 to 200 employees,2012,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD)
eEmployers Solutions Corporate,,,,-1,-1,-1,-1,-1,-1,-1
"Efficient IP, Inc",,,,"La Garenne-Colombes, France",51 to 200 employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Efficio,,,,"London, United Kingdom",201 to 500 employees,2000,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
EFG,,,,"Irving, TX",Unknown,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
eFinancial Careers,,,,"London, United Kingdom",51 to 200 employees,2001,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Efinancial,,,,"Bellevue, WA",201 to 500 employees,2001,Company - Private,Insurance Agencies & Brokerages,Insurance,$50 to $100 million (USD)
Egon Zehnder,,,,"Zurich, Switzerland",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
eHana,,,,"Boston, MA",1 to 50 employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
eHealth,,,,"Santa Clara, CA",1001 to 5000 employees,1997,Company - Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
EIS Group,,,,"San Francisco, CA",501 to 1000 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"EIS Group, Inc",,,,"Atlanta, GA",1001 to 5000 employees,1998,Subsidiary or Business Segment,Wholesale,Business Services,$500 million to $1 billion (USD)
Eisai US,,,,"Hatfield, United Kingdom",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Eitacies,,,,"Santa Clara, CA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
"EITAcies, Inc",,,,"Santa Clara, CA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
"eiWorkflow Solutions, LLC",,,,"Albany, NY",1 to 50 employees,-1,Company - Public,IT Services,Information Technology,Less than $1 million (USD)
Ekodus Inc,,,,"Piscataway, NJ",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
ektello,,,,"Troy, MI",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
El Cajon Army Recruiting Station,,,,-1,-1,-1,-1,-1,-1,-1
El Hogar del Nino - The Home of the Child,,,,-1,-1,-1,-1,-1,-1,-1
El Toro,,,,"Louisville, KY",51 to 200 employees,2013,Company - Private,Internet,Information Technology,$25 to $50 million (USD)
Elan Partners,,,,"Dallas, TX",51 to 200 employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Elap Services,,,,"Wayne, PA",51 to 200 employees,2003,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Elastic,,,,"Mountain View, CA",1001 to 5000 employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Elbit Systems of America,,,,"Fort Worth, TX",1001 to 5000 employees,-1,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Electro Rent Corporation,,,,"West Hills, CA",201 to 500 employees,1965,Company - Private,Commercial Equipment Rental,Business Services,$500 million to $1 billion (USD)
Electronic Arts,,,,"Redwood City, CA",5001 to 10000 employees,1982,Company - Public,Video Games,Media,$2 to $5 billion (USD)
"Electronic Consulting Services, Inc",,,,"Fairfax, VA",1001 to 5000 employees,2000,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD)
Elegant Enterprise- Wide Solutions Inc,,,,"Chantilly, VA",1 to 50 employees,-1,Company - Private,Food Production,Agriculture & Forestry,$1 to $5 million (USD)
Elegant Enterprise Wide Solutions,,,,"Chantilly, VA",1 to 50 employees,-1,Company - Private,Food Production,Agriculture & Forestry,$1 to $5 million (USD)
Element Biosciences,,,,"San Diego, CA",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Element Professionals LLC,,,,"Edmond, OK",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Elements Real Estate,,,,"El Segundo, CA",1 to 50 employees,2012,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Elevano,,,,"Irvine, CA",1 to 50 employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Elevate,,,,"Calabasas, CA",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable
Elevate Labs,,,,"San Francisco, CA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Elevate Services,,,,"Los Angeles, CA",1001 to 5000 employees,2011,Company - Private,Legal,Accounting & Legal,$50 to $100 million (USD)
Eleven Recruiting - CHURN,,,,-1,-1,-1,-1,-1,-1,-1
Eleven Recruiting - CHURN,,,,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Elever Professional,,,,"Austin, TX",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
ELEVI Associates,,,,"Columbia, MD",1 to 50 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Eli Lilly and Company,,,,"Indianapolis, IN",10000+ employees,1876,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Eliassen Group,,,,"Reading, MA",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
