,Company Name,Number of Reviews,Average Salary,Job Openings,Location Website,Size,Industry,Description,Rating,Additional Data
0,Deloitte,not found,not found,not found,https://www.glassdoor.com/Location/All-Deloitte-Office-Locations-E2763.htm,10000+ Employees,Accounting & Tax,"Deloitte provides industry-leading audit and assurance, tax and legal, consulting, financial advisory, and risk advisory services to nearly 90% of the Fortune Global 500® and thousands of private companies. Our more than 412,000+ professionals deliver measurable and lasting results that help reinforce public trust in capital markets, enable clients to transform and thrive, and lead the way toward a stronger economy, a more equitable society and a sustainable world. Building on its 178-plus year history, Deloitte spans more than 150 countries and territories. Deloitte US-India Offices is part of region within the Deloitte US organization, with offices across seven cities in India — Hyderabad, Mumbai, Delhi-NCR, Bengaluru, Kolkata, Pune and Chennai.",4.0,"www.deloitte.com;New York, NY;10000+ Employees;43 Locations;Type: Company - Private;Founded in 1850;Revenue: $10+ billion (USD);Accounting & Tax"
1,Wells Fargo,not found,not found,not found,https://www.glassdoor.com/Location/All-Wells-Fargo-Office-Locations-E8876.htm,10000+ Employees,Banking & Lending,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.S. households and more than 10% of small businesses in the U.S. Wells Fargo is No. 47 on Fortune’s 2023 rankings of America’s largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health, and a low-carbon economy. We ranked #3 on the 2022 LinkedIn Top Companies list – and #1 among financial services companies – as the best workplace “to grow your career” in the U.S. For more information, visit wellsfargo.com | Twitter: @wellsfargo",3.7,"www.wellsfargojobs.com/en/well-life/;San Francisco, CA;10000+ Employees;26 Locations;Type: Company - Public (WFC);Founded in 1852;Revenue: $10+ billion (USD);Banking & Lending"
2,IBM,not found,not found,not found,https://www.glassdoor.com/Location/All-IBM-Office-Locations-E354.htm,10000+ Employees,Information Technology Support Services,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world. IBMers are agents of change – in this team, you’ll become a part of a historic, prestigious, and global community in which you’ll be respected, and your talents will have a real impact. Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone. Come and let’s create together!",3.9,"www.ibm.com;Armonk, NY;10000+ Employees;37 Locations;Type: Company - Public (IBM);Founded in 1911;Revenue: $10+ billion (USD);Information Technology Support Services"
